PIC50_RET wild,can_smile,id,id_new,smiles
7.024568191,CC(C)(C)n1nc(-c2[nH]c3cc(CN)ccc3c2Cl)c2c(N)ncnc21,,reaxys_31976608,CC(C)(C)N1N=C(C2=C(Cl)C3=CC=C(CN)C=C3N2)C2=C1N=CN=C2N
7.023650021,Cc1c[nH]c(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)n1,32853065,patent_32853065,CC1=CNC(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)=N1
7.023650021,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cc1Cn1cccn1,32853072,patent_32853072,COC1=C(CN2C=CC=N2)C=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=C1
7.023191663,Cc1cncc(C(=O)NC2(C)CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)c1,33060044,patent_33060044,CC1=CN=CC(=C1)C(=O)NC1(C)CCN(CC1)C1=NC=C(C=C1)C1=CC(OCC(C)(C)O)=CN2N=CC(C#N)=C12
7.022733788,Cc1cncc(C(=O)N2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)c1,32853151,patent_32853151,CC1=CN=CC(=C1)C(=O)N1C2CC1CN(C2)C1=CC=C(C=N1)C1=CC(OCC(C)(C)O)=CN2N=CC(C#N)=C12
7.022733788,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(C(=O)NCC4CCCOC4)CC3)nc2)c2c(C#N)cnn2c1,33059433,patent_33059433,CC(C)(O)COC1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CCC(C)(CC1)C(=O)NCC1CCCOC1
7.021363052,CC(C)[C@@H](O)C(=O)N1CCN(c2ccc(-c3cc(OCCO)cn4ncc(C#N)c34)cn2)CC1,32852812,patent_32852812,CC(C)[C@@H](O)C(=O)N1CCN(CC1)C1=CC=C(C=N1)C1=CC(OCCO)=CN2N=CC(C#N)=C12
7.020907099,CCCN(C)CCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,reaxys_28252648,CCCN(C)CCOC1=C(OC)C=C2C(NC3=C(F)C=CC(O)=C3C)=NC=NC2=C1
7.020451625,CC(C)C(=O)NC1CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,33059426,patent_33059426,CC(C)C(=O)NC1CCN(CC1)C1=NC=C(C=C1)C1=CC(OCC(C)(C)O)=CN2N=CC(C#N)=C12
7.017728767,CCCCCCCn1nc(-c2cc(C3CC3)on2)c2c(N)ncnc21,,reaxys_29080123,CCCCCCCN1N=C(C2=NOC(=C2)C2CC2)C2=C(N)N=CN=C12
7.017728767,CCOc1cc(-c2ccc(N3CC[C@@H](NC(=O)CC(C)C)[C@H](O)C3)nc2)c2c(C#N)cnn2c1,33059797,patent_33059797,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CN=C(C=C1)N1CC[C@@H](NC(=O)CC(C)C)[C@H](O)C1
